ESN,DeepESN concat,DeepESN last,GruESN,GRU
0.00316918,0.00898904,0.00163808,0.00204519,0.0027513
0.00191077,0.00173392,0.00183523,0.00204289,0.00324332
0.00279298,0.00190863,0.00188993,0.00235507,0.00250903
0.00184784,0.0030103,0.0019523,0.00203457,0.0033252
0.00185479,0.00180935,0.00166794,0.00212832,0.00471017
0.0068585,0.00220132,0.00189411,0.00203182,0.00272451
0.00201448,0.00181146,0.00180959,0.00216897,0.00239263
0.00196509,0.00167529,0.00198286,0.00216323,0.00343367
0.00678633,0.00194072,0.00232886,0.00224828,0.00480423
0.00174891,0.00176639,0.00203516,0.00196121,0.00233907
0.00473027,0.00272453,0.00190357,0.00195994,0.00271189
0.00190327,0.00211922,0.00241508,0.00208072,0.00316191
0.00340035,0.00210478,0.00168661,0.00211668,0.00263952
0.00334362,0.00191775,0.00172235,0.00198083,0.00488901
0.00183256,0.00287869,0.00167349,0.00231594,0.00264672
0.00170837,0.00179561,0.00179155,0.0022858,0.00265645
0.00199442,0.0026882,0.00189145,0.00218442,0.00329318
0.00204362,0.00241565,0.00184213,0.00202969,0.00340127
0.00172917,0.0018189,0.0017796,0.00202957,0.00272688
0.00241,0.00164092,0.00184117,0.00199669,0.00514792
0.00175274,0.00180536,0.00174696,0.00203916,0.00398829
0.00423381,0.00175593,0.00175772,0.00211617,0.00313219
0.00173741,0.0016774,0.00167525,0.00201987,0.00215698
0.00172285,0.00177032,0.0016814,0.00202708,0.00213328
0.004127,0.00182506,0.00174258,0.00226835,0.00352068
0.00448902,0.00222504,0.00171108,0.00200473,0.00270488
0.00188469,0.00191314,0.00182916,0.002258,0.003294
0.00203715,0.00173817,0.00165294,0.00210326,0.00208361
0.00198124,0.00211915,0.00186133,0.00207107,0.00216213
0.00174131,0.00234412,0.00231916,0.00213343,0.00254861
0.00176603,0.00179671,0.00213149,0.00195551,0.00254782
0.00258242,0.00172945,0.00194883,0.00205097,0.00381653
0.00184633,0.00172863,0.00182436,0.00207531,0.00257295
0.00169092,0.00246003,0.00180476,0.00215091,0.002998
0.00243785,0.00166167,0.00183749,0.0020026,0.00302487
0.00179067,0.00234155,0.00174907,0.00209286,0.00252315
0.00245419,0.0017054,0.00194288,0.00213354,0.00403013
0.00243055,0.00171071,0.00185924,0.00199459,0.00390119
0.00190532,0.0019011,0.00188702,0.00205228,0.00375944
0.00171829,0.00201408,0.00170139,0.00199793,0.00245196
0.0016754,0.0016708,0.00180877,0.00213245,0.00341408
0.00183515,0.00195217,0.00202674,0.00204011,0.00385544
0.00196976,0.00173868,0.00176556,0.00214544,0.0027194
0.00188745,0.00191116,0.00231114,0.00212398,0.00324761
0.00175714,0.00205789,0.00177543,0.00205987,0.00252303
0.00602962,0.00242793,0.00204704,0.00198656,0.00316854
0.00254064,0.00269202,0.00194458,0.0021024,0.00235519
0.00184637,0.00182143,0.00181757,0.00218824,0.00323383
0.00264492,0.00168585,0.00174625,0.00198587,0.00239177
0.00181014,0.00188228,0.00174644,0.00205388,0.00281804
